GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
54,WV,West Virginia,2012,19,1,Y,10,1,N,9,1,N,1,0,N,7,3,N,7,3,N,2,1,N,2,0,N
55,WI,Wisconsin,2012,82,2,Y,50,2,Y,32,1,Y,15,2,Y,18,2,Y,26,4,Y,14,2,Y,9,1,N
56,WY,Wyoming,2012,2,0,N,1,0,N,1,0,N,-1,-1,N,-1,-1,N,1,1,N,-1,-1,N,1,1,N
72,PR,Puerto Rico,2012,15,0,Y,8,1,N,7,0,N,3,0,N,4,1,N,5,1,N,3,1,N,-1,-1,N
1,AL,Alabama,2013,111,3,Y,59,3,Y,52,2,Y,12,1,Y,35,6,Y,29,5,Y,26,4,Y,10,1,N
2,AK,Alaska,2013,12,2,Y,8,3,N,4,1,N,4,3,N,3,3,N,-1,-1,N,2,2,N,3,2,N
4,AZ,Arizona,2013,209,4,Y,119,4,Y,90,3,Y,27,2,Y,64,7,Y,67,8,Y,42,5,Y,9,1,N
5,AR,Arkansas,2013,39,2,Y,22,2,Y,17,1,Y,4,1,N,13,3,Y,14,4,Y,2,1,N,6,1,N
6,CA,California,2013,1714,5,Y,1319,8,Y,395,2,Y,152,2,Y,506,9,Y,455,9,Y,403,8,Y,200,2,Y
8,CO,Colorado,2013,179,4,Y,117,5,Y,62,3,Y,33,4,Y,65,8,Y,43,6,Y,29,4,Y,9,1,N
9,CT,Connecticut,2013,203,7,Y,90,6,Y,113,7,Y,44,8,Y,85,19,Y,35,8,Y,25,5,Y,12,1,Y
