"","GEOID","State","County","CountyPrevalence","TotalIDU","PercentIDU"
"2727",48407,"TX","San Jacinto County",39,0,0
"2728",48409,"TX","San Patricio County",58,8,13.7931034482759
"2729",48411,"TX","San Saba County",NA,0,NA
"2730",48413,"TX","Schleicher County",NA,0,NA
"2731",48415,"TX","Scurry County",10,0,0
"2732",48417,"TX","Shackelford County",NA,0,NA
"2733",48419,"TX","Shelby County",39,0,0
"2734",48421,"TX","Sherman County",NA,0,NA
"2735",48423,"TX","Smith County",396,113,28.5353535353535
"2736",48425,"TX","Somervell County",NA,0,NA
"2737",48427,"TX","Starr County",32,0,0
"2738",48429,"TX","Stephens County",13,0,0
"2739",48431,"TX","Sterling County",NA,0,NA
"2740",48433,"TX","Stonewall County",NA,0,NA
"2741",48435,"TX","Sutton County",NA,0,NA
"2742",48437,"TX","Swisher County",5,0,0
"2743",48439,"TX","Tarrant County",4953,1259,25.4189380173632
"2744",48441,"TX","Taylor County",224,48,21.4285714285714
"2745",48443,"TX","Terrell County",NA,0,NA
"2746",48445,"TX","Terry County",10,0,0
"2747",48447,"TX","Throckmorton County",NA,0,NA
"2748",48449,"TX","Titus County",30,0,0
"2749",48451,"TX","Tom Green County",93,12,12.9032258064516
"2750",48453,"TX","Travis County",4468,640,14.3240823634736
"2751",48455,"TX","Trinity County",28,7,25
"2752",48457,"TX","Tyler County",40,0,0
"2753",48459,"TX","Upshur County",37,0,0
"2754",48461,"TX","Upton County",NA,0,NA
"2755",48463,"TX","Uvalde County",17,0,0
"2756",48465,"TX","Val Verde County",38,6,15.7894736842105
"2757",48467,"TX","Van Zandt County",39,0,0
"2758",48469,"TX","Victoria County",107,24,22.4299065420561
"2759",48471,"TX","Walker County",758,100,13.1926121372032
"2760",48473,"TX","Waller County",73,12,16.4383561643836
"2761",48475,"TX","Ward County",8,0,0
"2762",48477,"TX","Washington County",41,0,0
"2763",48479,"TX","Webb County",412,120,29.126213592233
"2764",48481,"TX","Wharton County",73,31,42.4657534246575
"2765",48483,"TX","Wheeler County",5,0,0
"2766",48485,"TX","Wichita County",128,25,19.53125
"2767",48487,"TX","Wilbarger County",NA,0,NA
"2768",48489,"TX","Willacy County",114,25,21.9298245614035
"2769",48491,"TX","Williamson County",642,121,18.8473520249221
"2770",48493,"TX","Wilson County",33,0,0
"2771",48495,"TX","Winkler County",5,0,0
"2772",48497,"TX","Wise County",41,0,0
"2773",48499,"TX","Wood County",55,0,0
"2774",48501,"TX","Yoakum County",7,0,0
"2775",48503,"TX","Young County",NA,0,NA
"2776",48505,"TX","Zapata County",8,0,0
"2777",48507,"TX","Zavala County",8,0,0
"2778",49001,"UT","Beaver County",NA,0,NA
"2779",49003,"UT","Box Elder County",19,0,0
"2780",49005,"UT","Cache County",41,0,0
"2781",49007,"UT","Carbon County",10,0,0
"2782",49009,"UT","Daggett County",NA,0,NA
"2783",49011,"UT","Davis County",186,32,17.2043010752688
"2784",49013,"UT","Duchesne County",7,0,0
"2785",49015,"UT","Emery County",NA,0,NA
"2786",49017,"UT","Garfield County",NA,0,NA
"2787",49019,"UT","Grand County",8,0,0
"2788",49021,"UT","Iron County",17,0,0
"2789",49023,"UT","Juab County",7,0,0
"2790",49025,"UT","Kane County",NA,0,NA
"2791",49027,"UT","Millard County",NA,0,NA
"2792",49029,"UT","Morgan County",NA,0,NA
"2793",49031,"UT","Piute County",NA,0,NA
"2794",49033,"UT","Rich County",NA,0,NA
"2795",49035,"UT","Salt Lake County",1860,256,13.7634408602151
"2796",49037,"UT","San Juan County",NA,0,NA
"2797",49039,"UT","Sanpete County",9,0,0
"2798",49041,"UT","Sevier County",7,0,0
"2799",49043,"UT","Summit County",21,0,0
"2800",49045,"UT","Tooele County",27,0,0
"2801",49047,"UT","Uintah County",14,0,0
"2802",49049,"UT","Utah County",179,5,2.79329608938547
"2803",49051,"UT","Wasatch County",7,0,0
"2804",49053,"UT","Washington County",83,7,8.43373493975904
"2805",49055,"UT","Wayne County",NA,0,NA
"2806",49057,"UT","Weber County",142,21,14.7887323943662
"2807",50001,"VT","Addison County",33,0,0
"2808",50003,"VT","Bennington County",47,8,17.0212765957447
"2809",50005,"VT","Caledonia County",20,0,0
"2810",50007,"VT","Chittenden County",214,33,15.4205607476636
"2811",50009,"VT","Essex County",9,0,0
"2812",50011,"VT","Franklin County",33,0,0
"2813",50013,"VT","Grand Isle County",8,0,0
"2814",50015,"VT","Lamoille County",13,0,0
"2815",50017,"VT","Orange County",33,0,0
"2816",50019,"VT","Orleans County",26,0,0
"2817",50021,"VT","Rutland County",54,6,11.1111111111111
"2818",50023,"VT","Washington County",35,0,0
"2819",50025,"VT","Windham County",69,0,0
"2820",50027,"VT","Windsor County",63,7,11.1111111111111
"2821",51001,"VA","Accomack County",97,49,50.5154639175258
"2822",51003,"VA","Albemarle County",136,33,24.2647058823529
"2823",51005,"VA","Alleghany County",20,0,0
"2824",51007,"VA","Amelia County",14,0,0
"2825",51009,"VA","Amherst County",40,0,0
"2826",51011,"VA","Appomattox County",28,0,0
"2827",51013,"VA","Arlington County",968,196,20.2479338842975
"2828",51015,"VA","Augusta County",53,0,0
"2829",51017,"VA","Bath County",NA,0,NA
"2830",51019,"VA","Bedford County",53,6,11.3207547169811
"2831",51021,"VA","Bland County",NA,0,NA
"2832",51023,"VA","Botetourt County",25,0,0
"2833",51025,"VA","Brunswick County",58,6,10.3448275862069
"2834",51027,"VA","Buchanan County",9,0,0
"2835",51029,"VA","Buckingham County",61,6,9.83606557377049
"2836",51031,"VA","Campbell County",69,5,7.2463768115942
"2837",51033,"VA","Caroline County",58,0,0
"2838",51035,"VA","Carroll County",11,0,0
